"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-0.29,"bereinigt"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",980.64,"bereinigt"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",14.39,"bereinigt"
"2020-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",0.79,"bereinigt"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.18,"bereinigt"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",983.55,"bereinigt"
"2020-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.01,"bereinigt"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.36,"bereinigt"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",981.16,"bereinigt"
"2020-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.65,"bereinigt"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.15,"bereinigt"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.57,"bereinigt"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",25.06,"bereinigt"
"2020-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",1.02,"bereinigt"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",0.55,"bereinigt"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.5,"bereinigt"
"2020-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",1.54,"bereinigt"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.04,"bereinigt"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",979.09,"bereinigt"
