,Datum,Average_Temperature,Max_Temperature,Total_Rain_Duration,Average_Pressure,Average_Global_Radiation,Cloudiness,Moon Phase (%),IsVacationAargau,IsVacationZug,IsVacationSchwyz,IsVacationSt_gallen,IsVacationThurgau,IsVacationSchaffhausen,publicHolidayAargau,publicHolidayZug,publicHolidaySchwyz,publicHolidayStGallen,publicHolidayThurgau,publicHolidaySchaffhausen,publicHolidayZurich,Date_Occurrences,Weekday,Aargau_Week_After_Holiday,Aargau_First_Week_of_Holiday,Zug_Week_After_Holiday,Zug_First_Week_of_Holiday,Schwyz_Week_After_Holiday,Schwyz_First_Week_of_Holiday,St_gallen_Week_After_Holiday,St_gallen_First_Week_of_Holiday,Schaffhausen_Week_After_Holiday,Schaffhausen_First_Week_of_Holiday,Thurgau_Week_After_Holiday,Thurgau_First_Week_of_Holiday,Zurich_Week_After_Holiday,Zurich_First_Week_of_Holiday,Average_Temperature_5day_mean,Max_Temperature_5day_mean,Total_Rain_Duration_5day_mean,Average_Pressure_5day_mean,Average_Global_Radiation_5day_mean,Cloudiness_5day_mean
0,2019-01-01,5.146666666666667,5.793333333333333,19.383333333333336,981.08,18.7,0.6604333333333333,23.615800857543945,0,0,0,0,0,0,1,1,1,1,1,1,1,3,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,2019-01-02,3.0500000000000003,4.846666666666667,99.02666666666666,982.0166666666668,36.28,0.6545733333333333,15.465994834899902,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2,2019-01-03,-0.2566666666666666,1.0933333333333333,0.8366666666666666,985.5966666666668,70.46,0.64318,8.888046264648438,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3,2019-01-04,0.9333333333333332,2.926666666666667,0.0,984.5866666666668,64.73,0.64509,4.060190200805664,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
4,2019-01-05,1.403333333333333,2.7466666666666666,431.63,981.6266666666668,8.81,0.66373,1.0892150402069092,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,2019-01-06,2.76,3.143333333333333,618.8466666666667,981.3733333333332,13.8,0.6620666666666667,0.0128860771656036,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0553333333333335,3.481333333333333,110.17533333333333,982.9813333333335,39.796,0.6534013333333333
6,2019-01-07,2.9433333333333334,3.786666666666666,70.47,981.88,18.66,0.6604466666666666,0.8044912219047546,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5779999999999998,2.9513333333333334,230.06800000000004,983.0400000000002,38.816,0.6537280000000001
7,2019-01-08,3.0866666666666664,4.286666666666666,540.2833333333333,972.2866666666667,12.26,0.6625800000000001,3.380976915359497,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5566666666666666,2.739333333333333,224.35666666666665,983.0126666666667,35.292,0.6549026666666666
8,2019-01-09,1.8766666666666667,3.3800000000000003,359.0933333333333,965.59,23.26,0.6589133333333334,7.61428689956665,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.225333333333333,3.378,332.246,980.3506666666668,23.652,0.6587826666666666
9,2019-01-10,-0.0566666666666666,0.4933333333333333,494.21,971.07,7.39,0.6642033333333334,13.343828201293944,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4139999999999997,3.4686666666666666,404.0646666666667,976.5513333333332,15.358,0.6615473333333334
